what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200909110608,"org.eclipse.cdt.managedbuilder.core",1349288794743
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.200909110608,"org.eclipse.cdt.managedbuilder.gnu.ui",1349288794882
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1349288864447
started,bundle,org.eclipse.cdt.make.core,6.0.0.200909110608,"org.eclipse.cdt.make.core",1349288864478
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1349288864557
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349288865687
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349288865735
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1349288865751
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1349288869549
opened,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1349288869752
activated,perspective,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CPerspective",1349288870050
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1349288870417
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349288870482
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349288871530
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349288909321
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1349288909344
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1349288909443
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1349288909510
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349288913689
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1349288923623
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349288923665
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349288924048
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349288924360
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349288924975
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349288956229
