what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1349297326714
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1349297329051
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1349297331316
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349297332069
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349297333699
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1349297335260
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1349297336780
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349297337373
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349297339200
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1349297340972
error,log,,,"Error logged from Debug Core: ",1349297341419
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349297488249
activated,perspective,,,"<C/C++>",1349297513132
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1349297516270
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349297524870
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349297526500
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1349297534033
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1349297534928
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349297535533
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349297537201
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1349297538202
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349297538389
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349297541720
error,log,,,"Error logged from Debug Core: ",1349297542728
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349297544196
