what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1349291789913
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1349291790476
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1349291790668
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349291793163
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1349291801664
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1349291826290
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1349291826493
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1349291830384
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1349291842612
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1349291853648
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1349291860771
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1349291863317
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291969970
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291971163
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291972049
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291973441
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291974364
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349292032183
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349292047854
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349292252142
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1349292289801
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1349292291473
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1349292292009
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1349292292652
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1349292304731
