what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349892264679
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1349892264679
java.specification.name,sysinfo,,,"Java Platform API Specification",1349892264679
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349892264679
java.specification.version,sysinfo,,,"1.6",1349892264679
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1349892264679
java.version,sysinfo,,,"1.6.0_14",1349892264679
java.vm.info,sysinfo,,,"mixed mode",1349892264679
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1349892264679
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349892264679
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349892264679
java.vm.specification.version,sysinfo,,,"1.0",1349892264679
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1349892264679
java.vm.version,sysinfo,,,"14.0-b16",1349892264679
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1349892264774
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1349892264817
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1349892264886
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1349892264910
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1349892265323
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1349892265345
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1349892265352
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1349892265389
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1349892265563
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1349892265925
error,log,,,"Unhandled event loop exception",1349892266931
