what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289448346
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.200909110608,"org.eclipse.cdt.managedbuilder.ui",1349289453509
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.200909110608,"org.eclipse.cdt.managedbuilder.gnu.ui",1349289453547
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1349289505284
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289505423
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289506918
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289542404
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1349289542545
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1349289542703
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289552650
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1349289657551
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1349289657552
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289657730
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289659176
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289675312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289677192
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289681888
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349289683003
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349289683316
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1349289683466
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349289684687
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349289684948
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1349289685797
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349289685945
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349289686244
