what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1349288779715
java.specification.name,sysinfo,,,"Java Platform API Specification",1349288779716
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349288779716
java.specification.version,sysinfo,,,"1.6",1349288779716
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1349288779716
java.version,sysinfo,,,"1.6.0_14",1349288779716
java.vm.info,sysinfo,,,"mixed mode",1349288779716
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1349288779716
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349288779716
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349288779716
java.vm.specification.version,sysinfo,,,"1.0",1349288779716
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1349288779716
java.vm.version,sysinfo,,,"14.0-b16",1349288779716
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349288786329
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349288788238
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1349288794365
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1349288794370
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1349288794410
started,bundle,org.eclipse.cdt.core,5.1.1.200909110608,"org.eclipse.cdt.core",1349288794506
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1349288794546
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1349288794570
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1349288794573
started,bundle,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui",1349288794574
started,bundle,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui",1349288794581
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.200909110608,"org.eclipse.cdt.managedbuilder.ui",1349288794707
