what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1349288995733
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1349289000497
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289001654
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289002685
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289041723
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289051283
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1349289054258
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289054731
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289056148
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289057905
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289062427
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289065025
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289126671
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1349289136055
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1349289136102
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1349289136107
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289136287
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1349289136720
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1349289136746
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1349289136772
started,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1349289136799
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349289137055
error,log,,,"Error logged from Debug Core: ",1349289137691
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349289139935
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349289141948
