what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291088915
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291149401
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291150593
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291151377
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.StepInto",1349291153511
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349291153786
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291160400
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291187606
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.VariableView",1349291187833
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291191654
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291199382
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349291199597
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.StepInto",1349291203892
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291213373
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291245412
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.VariableView",1349291245694
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.StepInto",1349291246370
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.StepInto",1349291249250
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291254011
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291267827
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349291268026
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291271682
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349291274691
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.StepInto",1349291279193
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349291279422
